Province, Total , Male , Female , House 
    Whole Kingdom,66171439 ,32339118 ,33832321 ,27708635 
Bangkok,5527994 ,2592292 ,2935702 ,3147231 
    Central Region,17314234 ,8392697 ,8921537 ,8508593 
Samut Prakan,1356449 ,645884 ,710565 ,733185 
Nonthaburi,1288637 ,599167 ,689470 ,728953 
Pathum Thani,1190060 ,563851 ,626209 ,660020 
Phra Nakhon Si Ayutthaya,820512 ,394024 ,426488 ,342753 
Ang Thong,274763 ,131399 ,143364 ,102684 
Lop Buri,739473 ,368733 ,370740 ,303565 
Sing Buri,204526 ,97144 ,107382 ,79494 
Chai Nat,320432 ,153962 ,166470 ,128284 
Saraburi,643963 ,316201 ,327762 ,288275 
Chon Buri,1583672 ,772463 ,811209 ,1092000 
Rayong,751343 ,368992 ,382351 ,524479 
Chanthaburi,536557 ,262257 ,274300 ,248074 
Trat,228376 ,112941 ,115435 ,109890 
Chachoengsao,724178 ,354834 ,369344 ,321929 
Prachin Buri,495325 ,244642 ,250683 ,225949 
Nakhon Nayok,260433 ,128854 ,131579 ,104249 
Sa Kaeo,561992 ,280673 ,281319 ,221802 
Ratchaburi,868281 ,421921 ,446360 ,332214 
Kanchanaburi,894054 ,448312 ,445742 ,353679 
Suphan Buri,835360 ,402883 ,432477 ,311136 
Nakhon Pathom,922171 ,442800 ,479371 ,417915 
Samut Sakhon,586789 ,282683 ,304106 ,302618 
Samut Songkhram,190842 ,91101 ,99741 ,73940 
Phetchaburi,482875 ,232927 ,249948 ,224570 
Prachuap Khiri Khan,553171 ,274049 ,279122 ,276936 
    Northern Region,12010024 ,5871707 ,6138317 ,4964044 
Chiang Mai,1789385 ,864364 ,925021 ,852520 
Lamphun,401139 ,192712 ,208427 ,185253 
Lampang,724678 ,352894 ,371784 ,298848 
Uttaradit,446148 ,217413 ,228735 ,174440 
Phrae,434580 ,209403 ,225177 ,180833 
Nan,475875 ,237959 ,237916 ,173216 
Phayao,464505 ,225943 ,238562 ,197593 
Chiang Rai,1298425 ,630868 ,667557 ,569461 
Mae Hong Son,285916 ,144811 ,141105 ,117497 
Nakhon Sawan,1035028 ,504657 ,530371 ,426048 
Uthai Thani,325116 ,158926 ,166190 ,127506 
Kamphaeng Phet,712143 ,351539 ,360604 ,281829 
Tak,676583 ,341966 ,334617 ,228736 
Sukhothai,585352 ,283429 ,301923 ,222630 
Phitsanulok,847384 ,414577 ,432807 ,358036 
Phichit,529395 ,258012 ,271383 ,200600 
Phetchabun,978372 ,482234 ,496138 ,368998 
    Northeastern Region,21826920 ,10814540 ,11012380 ,7339935 
Nakhon Ratchasima,2634154 ,1293783 ,1340371 ,1024002 
Buri Ram,1579805 ,783531 ,796274 ,483349 
Surin,1376230 ,684354 ,691876 ,410088 
Si Sa Ket,1457556 ,725426 ,732130 ,405275 
Ubon Ratchathani,1868519 ,932466 ,936053 ,629504 
Yasothon,533394 ,265945 ,267449 ,179229 
Chaiyaphum,1122265 ,554299 ,567966 ,406943 
Amnat Charoen,376350 ,187122 ,189228 ,122801 
Bueng Kan,421995 ,211494 ,210501 ,140512 
Nong Bua Lam Phu,509001 ,253757 ,255244 ,154912 
Khon Kaen ,1790863 ,879849 ,911014 ,654344 
Udon Thani,1566510 ,775357 ,791153 ,538277 
Loei,638732 ,319949 ,318783 ,230763 
Nong Khai,516843 ,256268 ,260575 ,181752 
Maha Sarakham,948310 ,464976 ,483334 ,308947 
Roi Et,1296013 ,641883 ,654130 ,400811 
Kalasin,975570 ,481988 ,493582 ,316604 
Sakon Nakhon,1146286 ,569364 ,576922 ,396177 
Nakhon Phanom,717040 ,357096 ,359944 ,235673 
Mukdahan,351484 ,175633 ,175851 ,119972 
Southern Region,9492267 ,4667882 ,4824385 ,3748832 
Nakhon Si Thammarat,1549344 ,764471 ,784873 ,590976 
Krabi,479351 ,238092 ,241259 ,197381 
Phangnga,268016 ,133785 ,134231 ,120551 
Phuket,418785 ,197874 ,220911 ,277112 
Surat Thani,1072464 ,527349 ,545115 ,521265 
Ranong,194573 ,98136 ,96437 ,94295 
Chumphon,509479 ,251405 ,258074 ,244176 
Songkhla,1431536 ,697256 ,734280 ,562422 
Satun ,324835 ,161640 ,163195 ,107562 
Trang,639788 ,312693 ,327095 ,237935 
Phattalung,522541 ,254425 ,268116 ,199687 
Pattani,729581 ,360348 ,369233 ,199103 
Yala,542314 ,269907 ,272407 ,173226 
Narathiwat,809660 ,400501 ,409159 ,223141 
